Brand,Model
 SAMSUNG         , SAMSUNG GALAXY A02                                       
 SAMSUNG         , SAMSUNG GALAXY A03 CORE                                  
 SAMSUNG         , SAMSUNG GALAXY A04                                       
 SAMSUNG         , SAMSUNG GALAXY A04E                                      
 SAMSUNG         , SAMSUNG GALAXY A04S                                      
 SAMSUNG         , SAMSUNG GALAXY A05                                       
 SAMSUNG         , SAMSUNG GALAXY A05S                                      
 SAMSUNG         , SAMSUNG GALAXY A06                                       
 SAMSUNG         , SAMSUNG GALAXY A10                                       
 SAMSUNG         , SAMSUNG GALAXY A10S                                      
 SAMSUNG         , SAMSUNG GALAXY A11                                       
 SAMSUNG         , SAMSUNG GALAXY A12                                       
 SAMSUNG         , SAMSUNG GALAXY A13 4G                                    
 SAMSUNG         , SAMSUNG GALAXY A14                                       
 SAMSUNG         , SAMSUNG GALAXY A15                                       
 SAMSUNG         , SAMSUNG GALAXY A2 CORE                                   
 SAMSUNG         , SAMSUNG GALAXY A20                                       
 SAMSUNG         , SAMSUNG GALAXY A21S                                      
 SAMSUNG         , SAMSUNG GALAXY A22 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A23                                       
 SAMSUNG         , SAMSUNG GALAXY A24                                       
 SAMSUNG         , SAMSUNG GALAXY A25 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A30                                       
 SAMSUNG         , SAMSUNG GALAXY A30S                                      
 SAMSUNG         , SAMSUNG GALAXY A31                                       
 SAMSUNG         , SAMSUNG GALAXY A32                                       
 SAMSUNG         , SAMSUNG GALAXY A33 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A34 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A35 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A53 5G                                    
 SAMSUNG         , SAMSUNG GALAXY A55 5G                                    
 SAMSUNG         , SAMSUNG GALAXY GRAND PRIME PLUS                          
 SAMSUNG         , SAMSUNG GALAXY J2 CORE                                   
 SAMSUNG         , SAMSUNG GALAXY J4 CORE                                   
 SAMSUNG         , SAMSUNG GALAXY S22 5G                                    
 STYLO           , STYLO AIR                                                
 STYLO           , STYLO ATLAS                                              
 STYLO           , STYLO BRAVE                                              
 STYLO           , STYLO COMET 4G                                           
 STYLO           , STYLO E18 STAR                                           
 STYLO           , STYLO INKOSI PRO                                         
 STYLO           , STYLO INKOSI PRO 4G                                      
 STYLO           , STYLO MERCURY                                            
 STYLO           , STYLO RAIN                                               
 STYLO           , STYLO SATURM                                             
 STYLO           , STYLO SONIC                                              
 STYLO           , STYLO STEP UP                                            
 STYLO           , STYLO SWIFT 4G                                           
 TCL             , TCL 403                                                  
