Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,Positioning,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,5G bands,Dual,,_1,Triple,Features_1,SAR EU,256GB 8GB RAM,Models,128GB 6GB RAM,64GB 4GB RAM,128GB 8GB RAM,128GB 4GB RAM,Quad,Performance,Display,Camera,Loudspeaker_1,Battery (old),Build,Audio quality
itel,itel P40+,https://fdn2.gsmarena.com/vv/bigpic/itel-p40-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41 LTE","HSPA, LTE",2023,Available. Released 2023,8.9 mm thickness,-,Dual SIM,"IPS LCD, 90Hz","6.8 inches, 109.8 cm2",720 x 1640 pixels (~263 ppi density),Android 12 or 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC,128GB 4GB RAM,13 MP 0.08 MP (auxiliary lens),LED flash,1080p@30fps,8 MP,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,USB Type-C,"Fingerprint (side-mounted), accelerometer",7000 mAh,18W wired,"Force Black, Ice Cyan",,,,UFS 2.2,,,,,,‎P683L,,,,,,,,,,,,
itel,itel P40,https://fdn2.gsmarena.com/vv/bigpic/itel-p40.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE",2023,Available. Released 2023,-,-,Dual SIM,IPS LCD,"6.6 inches, 104.6 cm2","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",Android 12 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,"32GB 3GB RAM, 64GB 2GB RAM, 64GB 4GB RAM",5 MP,LED flash,1080p@30fps,,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,microUSB,"Fingerprint (rear-mounted), accelerometer",6000 mAh,18W wired,"Force Black, Dreamy Blue, Luxurious Gold",About 130 EUR,,13 MP 0.3 MP,,,,,,,"P662L, P662LN",,,,,,,,,,,,
itel,itel A60s,https://fdn2.gsmarena.com/vv/bigpic/itel-a60s-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",2023,Available. Released 2023,-,-,Dual SIM,IPS LCD,"6.6 inches, 104.6 cm2","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",Android 12,Unisoc SC9863A1 (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM",8 MP (wide) 0.08 MP (auxiliary lens),LED flash,Yes,5 MP,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,"microUSB, OTG","Fingerprint (rear-mounted), accelerometer, compass",5000 mAh,10W wired,"Shadow Black, Glacier Green, Moonlit Violet",About 70 EUR,,,,,,,,,,,,,,,,,,,,,
itel,itel A05s,https://fdn2.gsmarena.com/vv/bigpic/itel-a05s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE",2023,Available. Released 2023,-,-,Dual SIM,IPS LCD,"6.6 inches, 104.6 cm2","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",Android 12 (Go edition),Unisoc SC9863A1 (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,32GB 2GB RAM,8 MP,LED flash,Yes,5 MP,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,USB Type-C,"Fingerprint (rear-mounted), accelerometer, compass",4000 mAh,,"Meadow Green, Nebula Black",About 70 EUR,,,,,,,,,A663LC,,,,,,,,,,,,
itel,itel A04,https://fdn2.gsmarena.com/vv/bigpic/itel-a04.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE",2023,Available. Released 2023,-,-,Dual SIM,IPS LCD,"6.3 inches, 102.4 cm2","480 x 960 pixels, 18:9 ratio (~170 ppi density)",Android (Go edition),,,,microSDXC,32GB 2GB RAM,5 MP (wide) 0.08 MP (auxiliary lens),LED flash,Yes,5 MP,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,microUSB,"Fingerprint (rear-mounted), accelerometer",4000 mAh,,"Lake Cyan, Violet, Sandstone Black",,,,,,,,,,,,,,,,,,,,,,
itel,itel A48,https://fdn2.gsmarena.com/vv/bigpic/itel-a48.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE",2021,Available. Released 2021,-,-,Dual SIM,IPS LCD,"6.1 inches, 89.8 cm2","720 x 1600 pixels, 20:9 ratio (~288 ppi density)",Android 10 (Go edition),Unisoc SC9832E (28 nm),Quad-core 1.4 GHz,Mali-T820 MP1,microSDXC,32GB 2GB RAM,5 MP (wide) 0.08 MP (auxiliary lens),LED flash,Yes,5 MP,Yes,Yes,Yes,Yes,Yes,GPS,No,Unspecified,microUSB,"Fingerprint (rear-mounted), accelerometer",3000 mAh,,"Black, Purple, Green",,,,,,,,,,,,,,,,,,,,,,
